txn_id,sender,receiver,amount,timestamp,channel,fraud_label,fraud_type
TXN-0000000,ACC-00153,ACC-00498,62849.03,2025-12-12T05:00:06,NEFT,0,
TXN-0000001,ACC-00422,ACC-00164,5586.06,2025-10-27T03:47:38,IMPS,0,
TXN-0000002,ACC-00309,ACC-00330,140198.16,2025-10-09T16:03:12,UPI,0,
TXN-0000003,ACC-00108,ACC-00467,197405.74,2025-12-19T23:59:16,NEFT,0,
TXN-0000004,ACC-00248,ACC-00388,1083.7,2025-11-20T03:32:07,RTGS,0,
TXN-0000005,ACC-00420,ACC-00028,3484.49,2025-11-20T00:39:55,IMPS,0,
TXN-0000006,ACC-00033,ACC-00159,45711.84,2025-12-08T21:24:59,NEFT,0,
TXN-0000007,ACC-00069,ACC-00399,20553.02,2025-12-22T15:39:42,NEFT,0,
TXN-0000008,ACC-00291,ACC-00014,35233.69,2025-10-17T20:50:14,UPI,0,
TXN-0000009,ACC-00426,ACC-00102,7820.63,2025-12-21T06:17:49,UPI,0,
TXN-0000010,ACC-00016,ACC-00233,176825.09,2025-10-05T21:48:41,RTGS,0,
TXN-0000011,ACC-00360,ACC-00101,147270.38,2025-10-27T14:24:49,UPI,0,
TXN-0000012,ACC-00237,ACC-00258,40898.77,2025-11-08T12:56:33,NEFT,0,
TXN-0000013,ACC-00063,ACC-00348,276242.44,2025-10-03T23:13:02,UPI,0,
TXN-0000014,ACC-00250,ACC-00304,84247.72,2025-11-13T07:29:46,UPI,0,
TXN-0000015,ACC-00445,ACC-00242,7733.17,2025-11-26T23:31:48,NEFT,0,
TXN-0000016,ACC-00176,ACC-00083,70527.04,2025-12-21T07:52:29,RTGS,0,
TXN-0000017,ACC-00383,ACC-00425,6464.05,2025-12-06T21:08:17,UPI,0,
TXN-0000018,ACC-00014,ACC-00197,176523.72,2025-10-05T19:41:43,UPI,0,
TXN-0000019,ACC-00292,ACC-00399,33194.3,2025-10-21T19:23:54,RTGS,0,
TXN-0000020,ACC-00331,ACC-00115,26036.32,2025-12-05T19:08:39,UPI,0,
TXN-0000021,ACC-00333,ACC-00209,10660.78,2025-11-19T20:01:55,UPI,0,
TXN-0000022,ACC-00399,ACC-00495,327936.22,2025-12-14T12:34:26,IMPS,0,
TXN-0000023,ACC-00242,ACC-00466,27497.41,2025-10-13T20:18:51,NEFT,0,
TXN-0000024,ACC-00307,ACC-00410,16797.91,2025-10-01T19:43:18,UPI,0,
TXN-0000025,ACC-00311,ACC-00412,19267.2,2025-10-30T15:46:21,IMPS,0,
TXN-0000026,ACC-00363,ACC-00329,94670.39,2025-10-27T17:40:42,NEFT,0,
TXN-0000027,ACC-00192,ACC-00436,70108.5,2025-11-03T20:33:04,NEFT,0,
TXN-0000028,ACC-00111,ACC-00238,76337.43,2025-10-30T08:02:56,IMPS,0,
TXN-0000029,ACC-00422,ACC-00319,78863.82,2025-11-08T13:25:56,NEFT,0,
TXN-0000030,ACC-00003,ACC-00261,1715072.11,2025-12-04T07:24:00,ATM,0,
TXN-0000031,ACC-00429,ACC-00191,17473.71,2025-11-24T12:17:23,NEFT,0,
TXN-0000032,ACC-00311,ACC-00144,14442.97,2025-10-29T23:29:57,IMPS,0,
TXN-0000033,ACC-00246,ACC-00032,8393.47,2025-11-02T15:35:51,ATM,0,
TXN-0000034,ACC-00327,ACC-00166,110058.02,2025-12-23T15:25:15,UPI,0,
TXN-0000035,ACC-00335,ACC-00364,277104.54,2025-12-26T15:22:53,IMPS,0,
TXN-0000036,ACC-00096,ACC-00076,29581.21,2025-11-20T05:22:53,IMPS,0,
TXN-0000037,ACC-00460,ACC-00029,8004.17,2025-12-18T04:47:15,RTGS,0,
TXN-0000038,ACC-00414,ACC-00307,8233.23,2025-11-09T05:37:03,IMPS,0,
TXN-0000039,ACC-00348,ACC-00071,117133.2,2025-12-10T00:42:42,UPI,0,
TXN-0000040,ACC-00254,ACC-00151,138393.66,2025-10-26T04:30:25,RTGS,0,
TXN-0000041,ACC-00207,ACC-00198,96536.62,2025-12-11T12:42:36,UPI,0,
TXN-0000042,ACC-00362,ACC-00292,10960.82,2025-12-19T05:27:07,UPI,0,
TXN-0000043,ACC-00371,ACC-00365,55154.32,2025-10-22T14:08:37,IMPS,0,
TXN-0000044,ACC-00326,ACC-00401,44803.18,2025-11-16T04:32:36,RTGS,0,
TXN-0000045,ACC-00343,ACC-00183,53832.87,2025-11-19T06:07:45,UPI,0,
TXN-0000046,ACC-00087,ACC-00430,174306.72,2025-12-03T20:21:11,RTGS,0,
TXN-0000047,ACC-00092,ACC-00150,54310.45,2025-10-10T11:25:53,NEFT,0,
TXN-0000048,ACC-00379,ACC-00132,123259.16,2025-12-10T09:48:26,IMPS,0,
TXN-0000049,ACC-00390,ACC-00467,41012.92,2025-10-18T18:34:48,RTGS,0,
TXN-0000050,ACC-00460,ACC-00171,61109.03,2025-12-03T12:56:35,UPI,0,
TXN-0000051,ACC-00181,ACC-00114,113132.93,2025-12-12T06:08:05,RTGS,0,
TXN-0000052,ACC-00215,ACC-00403,2636.27,2025-12-26T02:29:42,UPI,0,
TXN-0000053,ACC-00133,ACC-00299,20426.57,2025-10-29T13:11:19,NEFT,0,
